"DCODE","DISTNAME","DISTCOUNTY","CC","AVG.FTE","RNK.FTE","LOCREV","AVG.LOCREV","RNK.LOCREV","STREV","AVG.STREV","RNK.STREV","FEDREV","AVG.FEDREV","RNK.FEDREV","TOTREV","AVG.TOTREV","RNK.TOTREV","BASINS","AVG.BASINS","RNK.BASINS","ADDINS","AVG.ADDINS","RNK.ADDINS","AEINS","AVG.AEINS","RNK.AEINS","ITOT","AVG.ITOT","RNK.ITOT","ISAL","AVG.ISAL","RNK.ISAL","ISSUP","AVG.ISSUP","RNK.ISSUP","ADM","AVG.ADM","RNK.ADM","FACACQ","AVG.FACACQ","RNK.FACACQ","OPNMNT","AVG.OPNMNT","RNK.OPNMNT","TRANS","AVG.TRANS","RNK.TRANS","SSTOT","AVG.SSTOT","RNK.SSTOT","SSSAL","AVG.SSSAL","RNK.SSSAL","COE","AVG.COE","RNK.COE","TOTEXP","AVG.TOTEXP","RNK.TOTEXP","T.SAL","AVG.T.SAL","RNK.T.SAL","HSEV","AVG.HSEV","RNK.HSEV","NHSEV","AVG.NHSEV","RNK.NHSEV","P.TCHR","AVG.P.TCHR","RNK.P.TCH","GROUP","AEPUPILS.A","AEPUPILS.S","YEAR","id"
3060,"MARTIN PUBLIC SCHOOLS","ALLEGAN",3,690.3,459,593786.19,860,415,4366273.96,6325,365,301503.85,437,289,5270969.28,7636,451,2432051.9,3523,466,639546.85,926,297,0,0,0,3071598.75,4450,431,2973393.94,4307,374,472899.49,685,244,916407.29,1328,228,0,0,0,474481.9,687,569,222295.27,322,366,2086083.95,3022,293,1602895.89,2322,141,5157682.7,7472,318,5383298.13,7798,391,1554345.31,45716,399,3.90312151713316e-316,114443,178,9.99865054331835e-317,29317,422,34,20,256,"M",0,0,2004,"20043060"
3070,"HOPKINS PUBLIC SCHOOLS","ALLEGAN",3,1459.08,312,761467,522,543,9480546,6498,299,211715,145,653,10454728,7165,671,5026831,3445,514,936841,642,540,0,0,0,5963672,4087,573,5686893,3898,540,787833,540,352,1384544,949,468,0,0,0,1239107,849,337,616502,423,154,4027986,2761,391,3049112,2090,218,9991658,6848,589,10694418,7330,574,3092138,46893,356,7.28287262574047e-316,101027,240,1.15655253918828e-316,16044,528,65.94,22,445,"L",0,0,2004,"20043070"
3080,"SAUGATUCK PUBLIC SCHOOLS","ALLEGAN",3,787.59,443,3643239,4626,46,3074481.44,3904,700,253258.68,322,415,6970979.12,8851,150,3505550.45,4451,83,508632.47,646,538,0,0,0,4014182.92,5097,148,3884733.02,4932,116,619890.31,787,178,1239026.46,1573,179,0,0,0,701920.54,891,290,218377.57,277,437,2779214.88,3529,187,1968505.33,2499,108,6793397.8,8626,109,7320007.9,9294,119,2308473.33,50403,245,7.97598852592265e-316,204974,31,8.15684471404236e-316,209622,47,45.8,17,104,"M",0,0,2004,"20043080"
3100,"HAMILTON COMMUNITY SCHOOLS","ALLEGAN",3,2490.56,191,4545425.54,1825,186,13201075.59,5300,630,605508.44,243,520,18352009.57,7369,590,9575572.84,3845,247,1291064.98,518,595,0,0,0,10866637.82,4363,474,10340249.32,4152,459,1578590.38,634,281,1907785.4,766,677,0,0,0,2330436.24,936,247,1041346.74,418,165,6858158.76,2754,398,4862116.67,1952,307,17724796.58,7117,461,20475126.09,8221,262,6051266.8,50385,247,1.52368655467365e-315,123827,152,9.73813071639755e-316,79140,174,120.1,21,348,"J",0,0,2004,"20043100"
3901,"DISCOVERY ELEMENTARY SCHOOL","ALLEGAN",3,136,683,29090.19,214,612,942743.24,6932,161,41190.35,303,432,1045188.82,7685,431,450998.78,3316,571,80915.49,595,566,0,0,0,531914.27,3911,612,495026.59,3640,567,10091.05,74,702,214800.53,1579,177,0,0,0,46056.01,339,737,240,2,627,271187.59,1994,717,153543.67,1129,575,803101.86,5905,727,992491.53,7298,588,270864.98,38695,517,0,0,0,0,0,0,7,19,189,"N",0,0,2004,"20043901"
3902,"OUTLOOK ACADEMY","ALLEGAN",3,15,737,145969.52,9731,11,134385.59,8959,3,85251,5683,2,365606.11,24374,4,141377.18,9425,6,19661,1311,99,0,0,0,161038.18,10736,5,154534.72,10302,4,54960.42,3664,2,34013.24,2268,53,0,0,0,52412.16,3494,3,33939,2263,4,175324.82,11688,4,7571,505,594,336363,22424,4,336363,22424,4,43415.79,43416,450,0,0,0,0,0,0,1,15,53,"N",0,0,2004,"20043902"
4010,"ALPENA PUBLIC SCHOOLS","ALPENA",4,5068.2,77,8497326.29,1677,207,28371646.69,5598,586,2608517.17,515,237,39477510.15,7789,383,17311331.54,3438,520,5032270.03,999,240,73781.23,2220,115,22417382.8,4423,441,21637691.6,4269,392,3691343.12,728,211,4413987.35,871,561,0,0,0,3775575.72,745,478,1843505.86,364,268,13724412.05,2708,427,10431968.63,2058,234,36141794.85,7131,454,37822158.06,7463,512,11424874.81,53916,131,2.35575617963132e-315,94079,281,1.8556042132088e-315,74105,189,211.9,24,628,"D",14.83,18.41,2004,"20044010"
5010,"ALBA PUBLIC SCHOOLS","ANTRIM",5,169,666,532394.42,3150,79,803967.55,4757,671,90541.97,536,232,1426903.94,8443,205,764395.84,4523,72,135755.82,803,410,0,0,0,900151.66,5326,107,803866.43,4757,164,84.24,0,0,260795.97,1543,186,0,0,0,164549.45,974,218,60946.71,361,277,486376.37,2878,332,312787.3,1851,380,1386528.03,8204,163,1422882.79,8419,220,412789.74,34399,562,7.98605832488337e-317,95645,271,1.34389279543745e-316,160951,63,12,14,38,"N",0,0,2004,"20045010"
5035,"CENTRAL LAKE PUBLIC SCHOOLS","ANTRIM",5,471.2,539,1989752.71,4223,53,1900771.84,4034,697,139245.05,296,446,4029769.6,8552,186,2129625.74,4520,73,498613.74,1058,200,0,0,0,2628239.48,5578,74,2538927.37,5388,55,286263.56,608,296,604909.63,1284,240,0,0,0,352662.06,748,473,170916.81,363,272,1414752.06,3002,299,1100467.61,2335,140,4042991.54,8580,116,4242779.28,9004,142,1314840.49,48340,310,4.312734792901e-316,185252,48,4.54734922640684e-316,195330,51,27.2,17,104,"N",0,0,2004,"20045035"
5040,"BELLAIRE PUBLIC SCHOOLS","ANTRIM",5,617.18,488,3243382.98,5255,33,1560424.41,2528,724,104374.27,169,619,4923676.63,7978,312,2570011.5,4164,130,396380.41,642,540,0,0,0,2966391.91,4806,243,2853424.14,4623,212,399150.27,647,272,677854.58,1098,329,0,0,0,478462.13,775,428,281301.01,456,115,1836767.99,2976,307,1312132.34,2126,195,4803159.9,7782,237,4991511.53,8088,290,1616239.59,48594,299,5.46646310463796e-316,179271,54,8.46086608235476e-316,277471,30,33.26,19,189,"M",0,0,2004,"20045040"
