"Date","Value"
2014-12-31,234.933
2013-12-31,234.594
2012-12-31,231.099
2011-12-31,227.093
2010-12-31,220.437
2009-12-31,217.347
2008-12-31,211.398
2007-12-31,211.445
2006-12-31,203.1
2005-12-31,198.1
2004-12-31,191.7
2003-12-31,185.5
2002-12-31,181.8
2001-12-31,177.4
2000-12-31,174.6
