"YEAR","DISTCOUNTY","TOTEXP.COUNTY","TOTREV.COUNTY","TCHR.SAL.COUNTY","TCHR.NUM.COUNTY","PUPIL.NUM.COUNTY","EXP.PER.PUPIL.COUNTY","REV.PER.PUPIL.COUNTY","TCHR_SA.PER.PUPIL.COUNTY","TCHR_SAL.AVG.COUNTY","PUPIL.PER.TCHR.COUNTY","subregion"
2004,"ALCONA",9289940.56371127,9731211.25332269,2754390.12765837,47.33,1029,9028.12494043855,9456.95942985684,2676.76397245712,58195.4389955287,21.7409676737798,"ALCONA"
2004,"ALGER",14261127.7527803,14175351.5313908,4009067.69498028,79.87,1428.15,9985.73521883575,9925.67414584656,2807.17550325966,50194.9129207497,17.8809315137098,"ALGER"
2004,"ALLEGAN",169104869.79812,166251718.07221,49832119.2102211,866.57,18355.56,9212.73280674193,9057.29479635653,2714.82423909819,57505.0131094097,21.1818548992003,"ALLEGAN"
2004,"ALPENA",45595528.9802188,47591096.0780117,13772963.7126562,211.9,5068.2,8996.39496867108,9390.13773687142,2717.52569209111,64997.4691489202,23.9178857951864,"ALPENA"
2004,"ANTRIM",41410178.1241715,42938623.8729556,12112641.2049973,223.73,4462.72,9279.13427778833,9621.62624429844,2714.18354837349,54139.5485853365,19.9469002815894,"ANTRIM"
2004,"ARENAC",27583575.622356,27073660.1392958,7993006.34532786,131.63,2830.34,9745.67565110765,9565.51514634135,2824.0445830988,60723.2875889072,21.5022411304414,"ARENAC"
2004,"BARAGA",15080285.4634047,14931806.8272294,4212975.96276385,88.6,1387.44,10869.1442249068,10762.1279675009,3036.51038081924,47550.5187670863,15.6595936794582,"BARAGA"
2004,"BARRY",73260225.378611,73700877.3811186,24348534.329962,386.85,8496.98,8621.91335964201,8673.77319719696,2865.55156419834,62940.504924291,21.9645340571281,"BARRY"
2004,"BAY",155940734.158689,155568571.738382,46936781.0068167,739.04,16784.98,9290.49269994296,9268.32035178962,2796.35608781284,63510.4744084444,22.7118694522624,"BAY"
2004,"BENZIE",24004372.356349,23776402.7647116,7043513.21092222,127.15,2580.09,9303.69574563251,9215.33852102507,2729.94864943557,55395.3064170053,20.2917027133307,"BENZIE"
2004,"BERRIEN",275544844.100816,276058121.236487,70845903.3726872,1313.59,28489.89,9671.67104193156,9689.68715696995,2486.70329624604,53933.0410346357,21.6885710153092,"BERRIEN"
2004,"BRANCH",55220469.1715352,55648596.2833365,19163228.3358156,325.99,6335.18,8716.47990610136,8784.05921904926,3024.89090062408,58784.7122176007,19.4336636093132,"BRANCH"
2004,"CALHOUN",262881075.481073,268693351.253933,66894798.790872,1393.57,24941.43,10539.9359812598,10772.9729712343,2682.07551815882,48002.4676125864,17.8975078395775,"CALHOUN"
2004,"CASS",66648950.6476358,67158246.6961673,18994965.9375064,342.59,7488.7,8899.93598990957,8967.94459601363,2536.48376053339,55445.1850243919,21.859073528124,"CASS"
