"subregion","long","lat","group","order","region","YEAR","DISTCOUNTY","TOTEXP.COUNTY","TOTREV.COUNTY","TCHR.SAL.COUNTY","TCHR.NUM.COUNTY","PUPIL.NUM.COUNTY","EXP.PER.PUPIL.COUNTY","REV.PER.PUPIL.COUNTY","TCHR_SA.PER.PUPIL.COUNTY","TCHR_SAL.AVG.COUNTY","PUPIL.PER.TCHR.COUNTY","clat","clong"
"ALCONA",-83.8867492675781,44.8568649291992,1,1,"michigan",2004,"ALCONA",9289940.56371127,9731211.25332269,2754390.12765837,47.33,1029,9028.12494043855,9456.95942985684,2676.76397245712,58195.4389955287,21.7409676737798,44.7222205570766,-83.4382068089077
"ALCONA",-83.8867492675781,44.8568649291992,1,1,"michigan",2005,"ALCONA",9925628.5439526,9263184.96365573,2901287.97222933,50.33,1048.02,9470.83886180855,8838.74827165105,2768.3517225142,57645.3004615404,20.8229684085039,44.7222205570766,-83.4382068089077
"ALCONA",-83.8867492675781,44.8568649291992,1,1,"michigan",2006,"ALCONA",9733277.37093205,10158071.4004065,2806603.75478464,47,1065,9139.22757833995,9538.09521164929,2635.30868993863,59714.9735060561,22.6595744680851,44.7222205570766,-83.4382068089077
"ALCONA",-83.8867492675781,44.8568649291992,1,1,"michigan",2007,"ALCONA",9579810.5933604,9766952.09239845,2681526.50452397,47,1006.68,9516.24209615807,9702.14178527283,2663.73276962289,57053.7554154035,21.4187234042553,44.7222205570766,-83.4382068089077
"ALCONA",-83.8867492675781,44.8568649291992,1,1,"michigan",2008,"ALCONA",9897695.19894318,9576611.74842023,2879140.01203091,48.66,988,10017.9101203878,9692.92687087068,2914.10932391792,59168.516482345,20.3041512535964,44.7222205570766,-83.4382068089077
"ALCONA",-83.8867492675781,44.8568649291992,1,1,"michigan",2009,"ALCONA",9397404.84707491,9165988.94945976,2555204.48255545,47.5,985,9540.51253510143,9305.57253752259,2594.11622594462,53793.7785801148,20.7368421052632,44.7222205570766,-83.4382068089077
"ALCONA",-83.8867492675781,44.8568649291992,1,1,"michigan",2010,"ALCONA",8455220.644665,8793228.30003906,2479267.14647042,45.5,898,9415.61319005012,9792.01369714817,2760.87655508955,54489.3878345147,19.7362637362637,44.7222205570766,-83.4382068089077
"ALCONA",-83.8867492675781,44.8568649291992,1,1,"michigan",2011,"ALCONA",8116068.9422552,8169825.78356695,2340683.23930495,41.16,835,9719.84304461701,9784.22249528976,2803.21346024545,56867.9115477394,20.2866861030126,44.7222205570766,-83.4382068089077
"ALCONA",-83.8867492675781,44.8568649291992,1,1,"michigan",2012,"ALCONA",7912831.18,7575259.34,2095829.5,36.5,772,10249.7813212435,9812.5120984456,2714.80505181347,57419.9863013699,21.1506849315068,44.7222205570766,-83.4382068089077
"ALCONA",-83.365364074707,44.8683242797852,1,2,"michigan",2004,"ALCONA",9289940.56371127,9731211.25332269,2754390.12765837,47.33,1029,9028.12494043855,9456.95942985684,2676.76397245712,58195.4389955287,21.7409676737798,44.7222205570766,-83.4382068089077
"ALCONA",-83.365364074707,44.8683242797852,1,2,"michigan",2005,"ALCONA",9925628.5439526,9263184.96365573,2901287.97222933,50.33,1048.02,9470.83886180855,8838.74827165105,2768.3517225142,57645.3004615404,20.8229684085039,44.7222205570766,-83.4382068089077
"ALCONA",-83.365364074707,44.8683242797852,1,2,"michigan",2006,"ALCONA",9733277.37093205,10158071.4004065,2806603.75478464,47,1065,9139.22757833995,9538.09521164929,2635.30868993863,59714.9735060561,22.6595744680851,44.7222205570766,-83.4382068089077
"ALCONA",-83.365364074707,44.8683242797852,1,2,"michigan",2007,"ALCONA",9579810.5933604,9766952.09239845,2681526.50452397,47,1006.68,9516.24209615807,9702.14178527283,2663.73276962289,57053.7554154035,21.4187234042553,44.7222205570766,-83.4382068089077
"ALCONA",-83.365364074707,44.8683242797852,1,2,"michigan",2008,"ALCONA",9897695.19894318,9576611.74842023,2879140.01203091,48.66,988,10017.9101203878,9692.92687087068,2914.10932391792,59168.516482345,20.3041512535964,44.7222205570766,-83.4382068089077
"ALCONA",-83.365364074707,44.8683242797852,1,2,"michigan",2009,"ALCONA",9397404.84707491,9165988.94945976,2555204.48255545,47.5,985,9540.51253510143,9305.57253752259,2594.11622594462,53793.7785801148,20.7368421052632,44.7222205570766,-83.4382068089077
"ALCONA",-83.365364074707,44.8683242797852,1,2,"michigan",2010,"ALCONA",8455220.644665,8793228.30003906,2479267.14647042,45.5,898,9415.61319005012,9792.01369714817,2760.87655508955,54489.3878345147,19.7362637362637,44.7222205570766,-83.4382068089077
"ALCONA",-83.365364074707,44.8683242797852,1,2,"michigan",2011,"ALCONA",8116068.9422552,8169825.78356695,2340683.23930495,41.16,835,9719.84304461701,9784.22249528976,2803.21346024545,56867.9115477394,20.2866861030126,44.7222205570766,-83.4382068089077
"ALCONA",-83.365364074707,44.8683242797852,1,2,"michigan",2012,"ALCONA",7912831.18,7575259.34,2095829.5,36.5,772,10249.7813212435,9812.5120984456,2714.80505181347,57419.9863013699,21.1506849315068,44.7222205570766,-83.4382068089077
"ALCONA",-83.365364074707,44.8683242797852,1,3,"michigan",2004,"ALCONA",9289940.56371127,9731211.25332269,2754390.12765837,47.33,1029,9028.12494043855,9456.95942985684,2676.76397245712,58195.4389955287,21.7409676737798,44.7222205570766,-83.4382068089077
"ALCONA",-83.365364074707,44.8683242797852,1,3,"michigan",2005,"ALCONA",9925628.5439526,9263184.96365573,2901287.97222933,50.33,1048.02,9470.83886180855,8838.74827165105,2768.3517225142,57645.3004615404,20.8229684085039,44.7222205570766,-83.4382068089077
"ALCONA",-83.365364074707,44.8683242797852,1,3,"michigan",2006,"ALCONA",9733277.37093205,10158071.4004065,2806603.75478464,47,1065,9139.22757833995,9538.09521164929,2635.30868993863,59714.9735060561,22.6595744680851,44.7222205570766,-83.4382068089077
"ALCONA",-83.365364074707,44.8683242797852,1,3,"michigan",2007,"ALCONA",9579810.5933604,9766952.09239845,2681526.50452397,47,1006.68,9516.24209615807,9702.14178527283,2663.73276962289,57053.7554154035,21.4187234042553,44.7222205570766,-83.4382068089077
"ALCONA",-83.365364074707,44.8683242797852,1,3,"michigan",2008,"ALCONA",9897695.19894318,9576611.74842023,2879140.01203091,48.66,988,10017.9101203878,9692.92687087068,2914.10932391792,59168.516482345,20.3041512535964,44.7222205570766,-83.4382068089077
"ALCONA",-83.365364074707,44.8683242797852,1,3,"michigan",2009,"ALCONA",9397404.84707491,9165988.94945976,2555204.48255545,47.5,985,9540.51253510143,9305.57253752259,2594.11622594462,53793.7785801148,20.7368421052632,44.7222205570766,-83.4382068089077
"ALCONA",-83.365364074707,44.8683242797852,1,3,"michigan",2010,"ALCONA",8455220.644665,8793228.30003906,2479267.14647042,45.5,898,9415.61319005012,9792.01369714817,2760.87655508955,54489.3878345147,19.7362637362637,44.7222205570766,-83.4382068089077
"ALCONA",-83.365364074707,44.8683242797852,1,3,"michigan",2011,"ALCONA",8116068.9422552,8169825.78356695,2340683.23930495,41.16,835,9719.84304461701,9784.22249528976,2803.21346024545,56867.9115477394,20.2866861030126,44.7222205570766,-83.4382068089077
"ALCONA",-83.365364074707,44.8683242797852,1,3,"michigan",2012,"ALCONA",7912831.18,7575259.34,2095829.5,36.5,772,10249.7813212435,9812.5120984456,2714.80505181347,57419.9863013699,21.1506849315068,44.7222205570766,-83.4382068089077
"ALCONA",-83.3309783935547,44.8396759033203,1,4,"michigan",2004,"ALCONA",9289940.56371127,9731211.25332269,2754390.12765837,47.33,1029,9028.12494043855,9456.95942985684,2676.76397245712,58195.4389955287,21.7409676737798,44.7222205570766,-83.4382068089077
"ALCONA",-83.3309783935547,44.8396759033203,1,4,"michigan",2005,"ALCONA",9925628.5439526,9263184.96365573,2901287.97222933,50.33,1048.02,9470.83886180855,8838.74827165105,2768.3517225142,57645.3004615404,20.8229684085039,44.7222205570766,-83.4382068089077
"ALCONA",-83.3309783935547,44.8396759033203,1,4,"michigan",2006,"ALCONA",9733277.37093205,10158071.4004065,2806603.75478464,47,1065,9139.22757833995,9538.09521164929,2635.30868993863,59714.9735060561,22.6595744680851,44.7222205570766,-83.4382068089077
"ALCONA",-83.3309783935547,44.8396759033203,1,4,"michigan",2007,"ALCONA",9579810.5933604,9766952.09239845,2681526.50452397,47,1006.68,9516.24209615807,9702.14178527283,2663.73276962289,57053.7554154035,21.4187234042553,44.7222205570766,-83.4382068089077
"ALCONA",-83.3309783935547,44.8396759033203,1,4,"michigan",2008,"ALCONA",9897695.19894318,9576611.74842023,2879140.01203091,48.66,988,10017.9101203878,9692.92687087068,2914.10932391792,59168.516482345,20.3041512535964,44.7222205570766,-83.4382068089077
"ALCONA",-83.3309783935547,44.8396759033203,1,4,"michigan",2009,"ALCONA",9397404.84707491,9165988.94945976,2555204.48255545,47.5,985,9540.51253510143,9305.57253752259,2594.11622594462,53793.7785801148,20.7368421052632,44.7222205570766,-83.4382068089077
"ALCONA",-83.3309783935547,44.8396759033203,1,4,"michigan",2010,"ALCONA",8455220.644665,8793228.30003906,2479267.14647042,45.5,898,9415.61319005012,9792.01369714817,2760.87655508955,54489.3878345147,19.7362637362637,44.7222205570766,-83.4382068089077
"ALCONA",-83.3309783935547,44.8396759033203,1,4,"michigan",2011,"ALCONA",8116068.9422552,8169825.78356695,2340683.23930495,41.16,835,9719.84304461701,9784.22249528976,2803.21346024545,56867.9115477394,20.2866861030126,44.7222205570766,-83.4382068089077
"ALCONA",-83.3309783935547,44.8396759033203,1,4,"michigan",2012,"ALCONA",7912831.18,7575259.34,2095829.5,36.5,772,10249.7813212435,9812.5120984456,2714.80505181347,57419.9863013699,21.1506849315068,44.7222205570766,-83.4382068089077
"ALCONA",-83.3080596923828,44.8053016662598,1,5,"michigan",2004,"ALCONA",9289940.56371127,9731211.25332269,2754390.12765837,47.33,1029,9028.12494043855,9456.95942985684,2676.76397245712,58195.4389955287,21.7409676737798,44.7222205570766,-83.4382068089077
"ALCONA",-83.3080596923828,44.8053016662598,1,5,"michigan",2005,"ALCONA",9925628.5439526,9263184.96365573,2901287.97222933,50.33,1048.02,9470.83886180855,8838.74827165105,2768.3517225142,57645.3004615404,20.8229684085039,44.7222205570766,-83.4382068089077
"ALCONA",-83.3080596923828,44.8053016662598,1,5,"michigan",2006,"ALCONA",9733277.37093205,10158071.4004065,2806603.75478464,47,1065,9139.22757833995,9538.09521164929,2635.30868993863,59714.9735060561,22.6595744680851,44.7222205570766,-83.4382068089077
"ALCONA",-83.3080596923828,44.8053016662598,1,5,"michigan",2007,"ALCONA",9579810.5933604,9766952.09239845,2681526.50452397,47,1006.68,9516.24209615807,9702.14178527283,2663.73276962289,57053.7554154035,21.4187234042553,44.7222205570766,-83.4382068089077
"ALCONA",-83.3080596923828,44.8053016662598,1,5,"michigan",2008,"ALCONA",9897695.19894318,9576611.74842023,2879140.01203091,48.66,988,10017.9101203878,9692.92687087068,2914.10932391792,59168.516482345,20.3041512535964,44.7222205570766,-83.4382068089077
"ALCONA",-83.3080596923828,44.8053016662598,1,5,"michigan",2009,"ALCONA",9397404.84707491,9165988.94945976,2555204.48255545,47.5,985,9540.51253510143,9305.57253752259,2594.11622594462,53793.7785801148,20.7368421052632,44.7222205570766,-83.4382068089077
